HJD(2400000+)	&	Error	&	Min	&	E	&	O-C	&	Ref	&	HJD(2400000+)	&	Error	&	Min	&	E	&	O-C	                 &	Ref
56540.37130 	&	0.00500 	&	P	&	-4743	&	-0.001642 	&	(9)	&	59012.67440 	&	0.00016	&	P	&	1941	&	-0.007209 	&	(15)
56799.47660 	&	0.00670 	&	S	&	-4042.5	&	-0.000504 	&	(10)	&	59012.85900 	&	0.00019	&	S	&	1941.5	&	-0.007551 	&	(15)
56832.95310 	&	0.00039 	&	P	&	-3952	&	0.001444 	&	(13)	&	59013.04440 	&	0.00016	&	P	&	1942	&	-0.007093 	&	(15)
56833.13785 	&	0.00045 	&	S	&	-3951.5	&	0.001252 	&	(13)	&	59013.22890 	&	0.00018	&	S	&	1942.5	&	-0.007535 	&	(15)
57132.55910 	&	0.00280 	&	P	&	-3142	&	0.000913 	&	(11)	&	59013.41400 	&	0.00016	&	P	&	1943	&	-0.007378 	&	(15)
57173.98733 	&	0.00063 	&	P	&	-3030	&	0.002068 	&	(13)	&	59013.59860 	&	0.0002	&	S	&	1943.5	&	-0.007720 	&	(15)
57174.17164 	&	0.00056 	&	S	&	-3029.5	&	0.001432 	&	(13)	&	59013.78380 	&	0.00018	&	P	&	1944	&	-0.007462 	&	(15)
57523.89713 	&	0.00048 	&	P	&	-2084	&	0.001035 	&	(13)	&	59013.96880 	&	0.00017	&	S	&	1944.5	&	-0.007405 	&	(15)
57824.61432 	&	0.00030 	&	P	&	-1271	&	0.002047 	&	(12)	&	59014.15370 	&	0.00016	&	P	&	1945	&	-0.007447 	&	(15)
57524.08259 	&	0.00044 	&	S	&	-2083.5	&	0.001552 	&	(13)	&	59014.33850 	&	0.00019	&	S	&	1945.5	&	-0.007589 	&	(15)
57898.03410 	&	0.00067 	&	S	&	-1072.5	&	-0.000269 	&	(13)	&	59014.52350 	&	0.00017	&	P	&	1946	&	-0.007532 	&	(15)
57898.21782 	&	0.00038 	&	P	&	-1072	&	-0.001494 	&	(13)	&	59014.70840 	&	0.0002	&	S	&	1946.5	&	-0.007574 	&	(15)
58288.81630 	&	0.00040 	&	P	&	-16	&	-0.001146 	&	(14)	&	59014.89350 	&	0.00016	&	P	&	1947	&	-0.007416 	&	(15)
58288.81720 	&	0.00020 	&	P	&	-16	&	-0.000246 	&	(14)	&	59015.07840 	&	0.00019	&	S	&	1947.5	&	-0.007458 	&	(15)
58290.85060 	&	0.00020 	&	S	&	-10.5	&	-0.001212 	&	(14)	&	59015.26330 	&	0.00015	&	P	&	1948	&	-0.007501 	&	(15)
58290.85170 	&	0.00030 	&	S	&	-10.5	&	-0.000112 	&	(14)	&	59015.44830 	&	0.00019	&	S	&	1948.5	&	-0.007443 	&	(15)
58290.85250 	&	0.00030 	&	S	&	-10.5	&	0.000688 	&	(14)	&	59015.63320 	&	0.00016	&	P	&	1949	&	-0.007485 	&	(15)
58292.70010 	&	0.00020 	&	S	&	-5.5	&	-0.001135 	&	(14)	&	59015.81820 	&	0.00018	&	S	&	1949.5	&	-0.007428 	&	(15)
58292.70110 	&	0.00010 	&	S	&	-5.5	&	-0.000135 	&	(14)	&	59016.00330 	&	0.00017	&	P	&	1950	&	-0.007270 	&	(15)
58292.70210 	&	0.00040 	&	S	&	-5.5	&	0.000865 	&	(14)	&	59016.18830 	&	0.00018	&	S	&	1950.5	&	-0.007212 	&	(15)
58292.88023 	&	0.00056 	&	P	&	-5	&	-0.005951 	&	(13)	&	59016.37290 	&	0.00015	&	P	&	1951	&	-0.007555 	&	(15)
58292.88440 	&	0.00030 	&	P	&	-5	&	-0.001777 	&	(14)	&	59016.55820 	&	0.00018	&	S	&	1951.5	&	-0.007197 	&	(15)
58292.88540 	&	0.00020 	&	P	&	-5	&	-0.000777 	&	(14)	&	59016.74290 	&	0.00016	&	P	&	1952	&	-0.007439 	&	(15)
58292.88640 	&	0.00020 	&	P	&	-5	&	0.000223 	&	(14)	&	59016.92810 	&	0.00019	&	S	&	1952.5	&	-0.007181 	&	(15)
58293.06698 	&	0.00068 	&	S	&	-4.5	&	-0.004142 	&	(13)	&	59017.11260 	&	0.00015	&	P	&	1953	&	-0.007624 	&	(15)
58294.73430 	&	0.00030 	&	P	&	0	&	-0.001300 	&	(14)	&	59017.29800 	&	0.00019	&	S	&	1953.5	&	-0.007166 	&	(15)
58294.73630 	&	0.00027 	&	P	&	0	&	0.000700 	&	(14)	&	59017.48240 	&	0.00017	&	P	&	1954	&	-0.007708 	&	(15)
58294.73690 	&	0.00027 	&	P	&	0	&	0.001300 	&	(14)	&	59017.66800 	&	0.00018	&	S	&	1954.5	&	-0.007051 	&	(15)
58294.91960 	&	0.00020 	&	S	&	0.5	&	-0.000942 	&	(14)	&	59017.85230 	&	0.00015	&	P	&	1955	&	-0.007693 	&	(15)
58294.92060 	&	0.00010 	&	S	&	0.5	&	0.000058 	&	(14)	&	59018.03780 	&	0.00018	&	S	&	1955.5	&	-0.007135 	&	(15)
58294.92160 	&	0.00030 	&	S	&	0.5	&	0.001058 	&	(14)	&	59018.22230 	&	0.00016	&	P	&	1956	&	-0.007578 	&	(15)
58983.82380 	&	0.00015 	&	P	&	1863	&	-0.006810 	&	(15)	&	59018.40780 	&	0.00019	&	S	&	1956.5	&	-0.007020 	&	(15)
58984.00920 	&	0.00018 	&	S	&	1863.5	&	-0.006352 	&	(15)	&	59018.59210 	&	0.00017	&	P	&	1957	&	-0.007662 	&	(15)
58984.19350 	&	0.00014 	&	P	&	1864	&	-0.006994 	&	(15)	&	59018.77760 	&	0.0002	&	S	&	1957.5	&	-0.007104 	&	(15)
58984.37920 	&	0.00018 	&	S	&	1864.5	&	-0.006237 	&	(15)	&	59018.96200 	&	0.00015	&	P	&	1958	&	-0.007647 	&	(15)
58984.56320 	&	0.00016 	&	P	&	1865	&	-0.007179 	&	(15)	&	59019.14750 	&	0.0002	&	S	&	1958.5	&	-0.007089 	&	(15)
58984.74890 	&	0.00018 	&	S	&	1865.5	&	-0.006421 	&	(15)	&	59019.33210 	&	0.00015	&	P	&	1959	&	-0.007431 	&	(15)
58984.93310 	&	0.00014 	&	P	&	1866	&	-0.007164 	&	(15)	&	59019.51720 	&	0.00018	&	S	&	1959.5	&	-0.007274 	&	(15)
58985.11880 	&	0.00020 	&	S	&	1866.5	&	-0.006406 	&	(15)	&	59019.70200 	&	0.00015	&	P	&	1960	&	-0.007416 	&	(15)
58985.30290 	&	0.00015 	&	P	&	1867	&	-0.007248 	&	(15)	&	59019.88710 	&	0.00019	&	S	&	1960.5	&	-0.007258 	&	(15)
58985.48860 	&	0.00020 	&	S	&	1867.5	&	-0.006490 	&	(15)	&	59020.07170 	&	0.00016	&	P	&	1961	&	-0.007601 	&	(15)
58985.67280 	&	0.00016 	&	P	&	1868	&	-0.007233 	&	(15)	&	59020.25700 	&	0.00019	&	S	&	1961.5	&	-0.007243 	&	(15)
58985.85850 	&	0.00019 	&	S	&	1868.5	&	-0.006475 	&	(15)	&	59020.44160 	&	0.00017	&	P	&	1962	&  	-0.007585 	&	(15)
58986.04280 	&	0.00014 	&	P	&	1869	&	-0.007117 	&	(15)	&	59020.62670 	&	0.00019	&	S	&	1962.5	&	-0.007427 	&	(15)
58986.22830 	&	0.00019 	&	S	&	1869.5	&	-0.006560 	&	(15)	&	59020.81160 	&	0.00016	&	P	&	1963	&	-0.007470 	&	(15)
58986.41260 	&	0.00015 	&	P	&	1870	&	-0.007202 	&	(15)	&	59020.99700 	&	0.00019	&	S	&	1963.5	&	-0.007012 	&	(15)
58986.59810 	&	0.00019 	&	S	&	1870.5	&	-0.006644 	&	(15)	&	59021.18140 	&	0.00017	&	P	&	1964	&	-0.007554 	&	(15)
58986.78250 	&	0.00016 	&	P	&	1871	&	-0.007187 	&	(15)	&	59021.36680 	&	0.00021	&	S	&	1964.5	&	-0.007097 	&	(15)
58986.96780 	&	0.00019 	&	S	&	1871.5	&	-0.006829 	&	(15)	&	59021.55130 	&	0.00015	&	P	&	1965	&	-0.007539 	&	(15)
58987.15230 	&	0.00015 	&	P	&	1872	&	-0.007271 	&	(15)	&	59021.73670 	&	0.0002	&	S	&	1965.5	&	-0.007081 	&	(15)
58987.33770 	&	0.00019 	&	S	&	1872.5	&	-0.006813 	&	(15)	&	59021.92130 	&	0.00017	&	P	&	1966	&	-0.007424 	&	(15)
58987.52210 	&	0.00016 	&	P	&	1873	&	-0.007356 	&	(15)	&	59022.10650 	&	0.0002	&	S	&	1966.5	&	-0.007166 	&	(15)
58987.70760 	&	0.00019 	&	S	&	1873.5	&	-0.006798 	&	(15)	&	59023.21630 	&	0.00019	&	S	&	1969.5	&	-0.007020 	&	(15)
58987.89210 	&	0.00015 	&	P	&	1874	&	-0.007240 	&	(15)	&	59023.40080 	&	0.00016	&	P	&	1970	&	-0.007462 	&	(15)
58988.07740 	&	0.00020 	&	S	&	1874.5	&	-0.006883 	&	(15)	&	59023.58580 	&	0.00018	&	S	&	1970.5	&	-0.007404 	&	(15)
58988.26180 	&	0.00016 	&	P	&	1875	&	-0.007425 	&	(15)	&	59023.77070 	&	0.00016	&	P	&	1971	&	-0.007447 	&	(15)
58988.44730 	&	0.00017 	&	S	&	1875.5	&	-0.006867 	&	(15)	&	59023.95580 	&	0.00018	&	S	&	1971.5	&	-0.007289 	&	(15)
58988.63170 	&	0.00016 	&	P	&	1876	&	-0.007410 	&	(15)	&	59024.14070 	&	0.00015	&	P	&	1972	&	-0.007331 	&	(15)
58988.81710 	&	0.00019 	&	S	&	1876.5	&	-0.006952 	&	(15)	&	59024.32570 	&	0.0002	&	S	&	1972.5	&	-0.007273 	&	(15)
58989.00150 	&	0.00016 	&	P	&	1877	&	-0.007494 	&	(15)	&	59024.51050 	&	0.00015	&	P	&	1973	&	-0.007416 	&	(15)
58989.18710 	&	0.00019 	&	S	&	1877.5	&	-0.006836 	&	(15)	&	59024.69560 	&	0.00018	&	S	&	1973.5	&	-0.007258 	&	(15)
58989.37160 	&	0.00017 	&	P	&	1878	&	-0.007279 	&	(15)	&	59024.88020 	&	0.00016	&	P	&	1974	&	-0.007600 	&	(15)
58989.55670 	&	0.00018 	&	S	&	1878.5	&	-0.007121 	&	(15)	&	59025.06550 	&	0.0002	&	S	&	1974.5	&	-0.007243 	&	(15)
58989.74130 	&	0.00014 	&	P	&	1879	&	-0.007463 	&	(15)	&	59025.25010 	&	0.00016	&	P	&	1975	&	-0.007585 	&	(15)
58989.92660 	&	0.00018 	&	S	&	1879.5	&	-0.007106 	&	(15)	&	59025.43530 	&	0.00018	&	S	&	1975.5	&	-0.007327 	&	(15)
58990.11130 	&	0.00016 	&	P	&	1880	&	-0.007348 	&	(15)	&	59025.62000 	&	0.00016	&	P	&	1976	&	-0.007570 	&	(15)
58990.29650 	&	0.00018 	&	S	&	1880.5	&	-0.007090 	&	(15)	&	59025.80510 	&	0.00019	&	S	&	1976.5	&	-0.007412 	&	(15)
58990.48120 	&	0.00016 	&	P	&	1881	&	-0.007333 	&	(15)	&	59025.98980 	&	0.00016	&	P	&	1977	&	-0.007654 	&	(15)
58990.66640 	&	0.00018 	&	S	&	1881.5	&	-0.007075 	&	(15)	&	59026.17490 	&	0.00019	&	S	&	1977.5	&	-0.007496 	&	(15)
58990.85130 	&	0.00016 	&	P	&	1882	&	-0.007117 	&	(15)	&	59026.35960 	&	0.00015	&	P	&	1978	&	-0.007739 	&	(15)
58991.03630 	&	0.00019 	&	S	&	1882.5	&	-0.007059 	&	(15)	&	59026.54480 	&	0.00018	&	S	&	1978.5	&	-0.007481 	&	(15)
58991.22120 	&	0.00014 	&	P	&	1883	&	-0.007102 	&	(15)	&	59026.72960 	&	0.00017	&	P	&	1979	&	-0.007623 	&	(15)
58991.40600 	&	0.00019 	&	S	&	1883.5	&	-0.007244 	&	(15)	&	59026.91460 	&	0.00017	&	S	&	1979.5	&	-0.007566 	&	(15)
58991.59100 	&	0.00014 	&	P	&	1884	&	-0.007186 	&	(15)	&	59027.09930 	&	0.00017	&	P	&	1980	&	-0.007808 	&	(15)
58991.77600 	&	0.00018 	&	S	&	1884.5	&	-0.007129 	&	(15)	&	59027.28450 	&	0.00019	&	S	&	1980.5	&	-0.007550 	&	(15)
58991.96080 	&	0.00016 	&	P	&	1885	&	-0.007271 	&	(15)	&	59027.46920 	&	0.00014	&	P	&	1981	&	-0.007793 	&	(15)
58992.14580 	&	0.00019 	&	S	&	1885.5	&	-0.007213 	&	(15)	&	59027.65420 	&	0.00021	&	S	&	1981.5	&	-0.007735 	&	(15)
58992.33100 	&	0.00016 	&	P	&	1886	&	-0.006956 	&	(15)	&	59027.83920 	&	0.00016	&	P	&	1982	&	-0.007677 	&	(15)
58992.51570 	&	0.00019 	&	S	&	1886.5	&	-0.007198 	&	(15)	&	59028.02410 	&	0.00017	&	S	&	1982.5	&	-0.007719 	&	(15)
58992.70080 	&	0.00016 	&	P	&	1887	&	-0.007040 	&	(15)	&	59028.20900 	&	0.00016	&	P	&	1983	&	-0.007762 	&	(15)
58992.88550 	&	0.00018 	&	S	&	1887.5	&	-0.007282 	&	(15)	&	59028.39400 	&	0.00019	&	S	&	1983.5	&	-0.007704 	&	(15)
58993.07090 	&	0.00015 	&	P	&	1888	&	-0.006825 	&	(15)	&	59028.57880 	&	0.00016	&	P	&	1984	&	-0.007846 	&	(15)
58993.25550 	&	0.00017 	&	S	&	1888.5	&	-0.007167 	&	(15)	&	59028.76390 	&	0.00018	&	S	&	1984.5	&	-0.007689 	&	(15)
58993.44050 	&	0.00016 	&	P	&	1889	&	-0.007109 	&	(15)	&	59028.94870 	&	0.00016	&	P	&	1985	&	-0.007831 	&	(15)
58993.62520 	&	0.00020 	&	S	&	1889.5	&	-0.007352 	&	(15)	&	59029.13370 	&	0.00018	&	S	&	1985.5	&	-0.007773 	&	(15)
58993.81060 	&	0.00016 	&	P	&	1890	&	-0.006894 	&	(15)	&	59029.31870 	&	0.00017	&	P	&	1986	&	-0.007716 	&	(15)
58993.99520 	&	0.00018 	&	S	&	1890.5	&	-0.007236 	&	(15)	&	59029.50370 	&	0.00019	&	S	&	1986.5	&	-0.007658 	&	(15)
58994.18050 	&	0.00014 	&	P	&	1891	&	-0.006879 	&	(15)	&	59029.68850 	&	0.00016	&	P	&	1987	&	-0.007800 	&	(15)
58994.36500 	&	0.00018 	&	S	&	1891.5	&	-0.007321 	&	(15)	&	59029.87340 	&	0.0002	&	S	&	1987.5	&	-0.007842 	&	(15)
58994.55030 	&	0.00014 	&	P	&	1892	&	-0.006963 	&	(15)	&	59030.05850 	&	0.00016	&	P	&	1988	&	-0.007685 	&	(15)
58994.73500 	&	0.00017 	&	S	&	1892.5	&	-0.007205 	&	(15)	&	59030.24360 	&	0.00018	&	S	&	1988.5	&	-0.007527 	&	(15)
58994.92020 	&	0.00015 	&	P	&	1893	&	-0.006948 	&	(15)	&	59030.42820 	&	0.00016	&	P	&	1989	&	-0.007869 	&	(15)
58995.10480 	&	0.00020 	&	S	&	1893.5	&	-0.007290 	&	(15)	&	59030.61340 	&	0.00017	&	S	&	1989.5	&	-0.007612 	&	(15)
58995.29000 	&	0.00013 	&	P	&	1894	&	-0.007032 	&	(15)	&	59030.79830 	&	0.00016	&	P	&	1990	&	-0.007654 	&	(15)
58995.47470 	&	0.00019 	&	S	&	1894.5	&	-0.007275 	&	(15)	&	59030.98310 	&	0.00018	&	S	&	1990.5	&	-0.007796 	&	(15)
58996.95470 	&	0.00022 	&	S	&	1898.5	&	-0.006813 	&	(15)	&	59031.16810 	&	0.00015	&	P	&	1991	&	-0.007739 	&	(15)
58997.13970 	&	0.00015 	&	P	&	1899	&	-0.006755 	&	(15)	&	59031.35320 	&	0.00017	&	S	&	1991.5	&	-0.007581 	&	(15)
58997.32430 	&	0.00020 	&	S	&	1899.5	&	-0.007098 	&	(15)	&	59031.53800 	&	0.00015	&	P	&	1992	&	-0.007723 	&	(15)
58997.50960 	&	0.00015 	&	P	&	1900	&	-0.006740 	&	(15)	&	59031.72300 	&	0.00018	&	S	&	1992.5	&	-0.007665 	&	(15)
58997.69400 	&	0.00019 	&	S	&	1900.5	&	-0.007282 	&	(15)	&	59031.90790 	&	0.00016	&	P	&	1993	&	-0.007708 	&	(15)
58997.87940 	&	0.00017 	&	P	&	1901	&	-0.006825 	&	(15)	&	59032.09300 	&	0.00019	&	S	&	1993.5	&	-0.007550 	&	(15)
58998.06410 	&	0.00017 	&	S	&	1901.5	&	-0.007067 	&	(15)	&	59032.27760 	&	0.00015	&	P	&	1994	&	-0.007892 	&	(15)
58998.24940 	&	0.00015 	&	P	&	1902	&	-0.006709 	&	(15)	&	59032.46290 	&	0.00018	&	S	&	1994.5	&	-0.007535 	&	(15)
58998.43390 	&	0.00018 	&	S	&	1902.5	&	-0.007151 	&	(15)	&	59032.64770 	&	0.00015	&	P	&	1995	&	-0.007677 	&	(15)
58998.61930 	&	0.00015 	&	P	&	1903	&	-0.006694 	&	(15)	&	59032.83270 	&	0.00019	&	S	&	1995.5	&	-0.007619 	&	(15)
58998.80380 	&	0.00019 	&	S	&	1903.5	&	-0.007136 	&	(15)	&	59033.01760 	&	0.00015	&	P	&	1996	&	-0.007662 	&	(15)
58998.98950 	&	0.00015 	&	P	&	1904	&	-0.006378 	&	(15)	&	59033.20290 	&	0.00017	&	S	&	1996.5	&	-0.007304 	&	(15)
58999.17380 	&	0.00019 	&	S	&	1904.5	&	-0.007021 	&	(15)	&	59033.38750 	&	0.00015	&	P	&	1997	&	-0.007646 	&	(15)
58999.35910 	&	0.00016 	&	P	&	1905	&	-0.006663 	&	(15)	&	59033.57290 	&	0.00017	&	S	&	1997.5	&	-0.007188 	&	(15)
58999.54360 	&	0.00019 	&	S	&	1905.5	&	-0.007105 	&	(15)	&	59033.75720 	&	0.00015	&	P	&	1998	&	-0.007831 	&	(15)
58999.72910 	&	0.00016 	&	P	&	1906	&	-0.006548 	&	(15)	&	59033.94260 	&	0.00018	&	S	&	1998.5	&	-0.007373 	&	(15)
58999.91340 	&	0.00019 	&	S	&	1906.5	&	-0.007190 	&	(15)	&	59034.12720 	&	0.00015	&	P	&	1999	&	-0.007715 	&	(15)
59000.09910 	&	0.00014 	&	P	&	1907	&	-0.006432 	&	(15)	&	59034.31250 	&	0.0002	&	S	&	1999.5	&	-0.007358 	&	(15)
59000.28320 	&	0.00020 	&	S	&	1907.5	&	-0.007274 	&	(15)	&	59034.49700 	&	0.00016	&	P	&	2000	&	-0.007800 	&	(15)
59000.46890 	&	0.00016 	&	P	&	1908	&	-0.006517 	&	(15)	&	59034.68250 	&	0.00019	&	S	&	2000.5	&	-0.007242 	&	(15)
59000.65290 	&	0.00019 	&	S	&	1908.5	&	-0.007459 	&	(15)	&	59034.86700 	&	0.00015	&	P	&	2001	&	-0.007685 	&	(15)
59000.83880 	&	0.00014 	&	P	&	1909	&	-0.006501 	&	(15)	&	59035.05240 	&	0.00018	&	S	&	2001.5	&	-0.007227 	&	(15)
59001.02310 	&	0.00018 	&	S	&	1909.5	&	-0.007144 	&	(15)	&	59762.23647 	&	0.00036	&	S	&	3967.5	&	-0.016283 	&	(16)
